date,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
2011,32.3,28,24.4,30.7,23.1,21.1,25.4,29,18.6,27.7,26.7,24.4,26.2,27.7,30.9,30.4,30,29.6,33,28.1,28.7,24.1,31.9,28.4,32.4,29.8,25.8,29.2,25.5,28.3,25.6,26.3,25.3,28.3,30,31.6,30.6,26.3,29.5,27.6,28.6,29.9,28,30.9,25.8,27.3,29.7,27.9,30.7,29.3,26.1
2012,31.8,25.9,26.4,34,26.2,21.1,27.1,26,17.9,26.5,27.7,26.8,27.3,28.3,31.8,31.5,30.6,31.5,33.5,30.1,26.5,24.6,31.5,27.8,31.8,29.6,25.2,29.2,26.5,28.9,26.3,26.7,24.3,29.5,32.3,30.5,33.1,27.4,28.9,27.8,30.1,28.7,30.4,28.5,24.6,24.4,27.3,27.3,34.5,29.6,22.6
2013,30.9,29.2,26.5,35.2,25.1,20.8,25.5,30.6,20.6,27.5,29.2,24.7,31.2,28.3,31.1,32.4,30.5,33.3,31.1,29.1,27.8,25.9,31.1,27,33.8,30.7,26.1,30.8,25.9,28.7,27.8,25.6,24.7,28.6,33.7,30,32.9,28,30.3,28.5,30.1,32,32.8,29.6,24.6,25.7,27.1,26.6,35.4,30.7,28.2
2014,34.1,29.3,29.1,35.8,24,21.9,26.5,29.4,19.5,25.8,28.6,23.1,28.7,27.9,32.5,32,31.1,33.3,34,27.9,27.8,23.6,30.9,29.7,32.9,30.2,27.7,31.7,29.9,29.5,28.5,27.5,27.8,28.3,34.7,32.8,33.5,27.1,31.2,28.2,31.7,31.5,32,33.2,25.7,25.3,27.7,28.5,35.3,31.8,29.7
2015,34.9,29.3,29.6,35.1,24.6,20.2,26.6,28.1,17.6,27.7,29.1,25.5,29.8,29.7,31.9,34.8,35.1,36.2,35.9,29.1,28,25.5,31.7,27.8,33.9,33.5,23.7,32.9,27.9,28,27.4,29.2,25.8,28.9,34.5,31.1,33.7,31.1,29.9,27.9,30.3,32.2,33.1,31.7,24.9,24.7,28.8,26.9,37.4,31.2,30.1
